

Oregon (PST) SNOTEL Site Mt Hood Test Site - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Jun 30 09:45:48 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,SNWD.I-1 (in) ,
651,2023-06-09,01:00,     5.0,    77.6,     9.8,      15,
651,2023-06-09,02:00,     5.0,    77.6,     8.7,      15,
651,2023-06-09,03:00,     4.9,    77.6,     8.0,      15,
651,2023-06-09,04:00,     4.9,    77.6,     8.3,      15,
651,2023-06-09,05:00,     4.9,    77.6,     7.5,      15,
651,2023-06-09,06:00,     4.8,    77.6,     7.8,      15,
651,2023-06-09,07:00,     4.8,    77.7,     8.0,      14,
651,2023-06-09,08:00,     4.8,    77.7,     7.5,      15,
651,2023-06-09,09:00,     4.7,    77.7,     8.0,      14,
651,2023-06-09,10:00,     4.6,    77.7,     7.8,      14,
651,2023-06-09,11:00,     4.4,    77.7,     7.8,      14,
651,2023-06-09,12:00,     4.2,    77.6,     7.6,-99.9,
651,2023-06-09,13:00,     4.1,    77.6,     7.4,      14,
651,2023-06-09,14:00,     4.0,    77.6,     7.9,      13,
651,2023-06-09,15:00,     3.9,    77.7,     7.4,      13,
651,2023-06-09,16:00,     3.8,    77.7,     7.4,      12,
651,2023-06-09,17:00,     3.8,    77.8,     6.9,      13,
651,2023-06-09,18:00,     3.7,    77.8,     6.9,      13,
651,2023-06-09,19:00,     3.7,    77.8,     6.7,      13,
651,2023-06-09,20:00,     3.7,    77.8,     6.4,      13,
651,2023-06-09,21:00,     3.6,    77.8,     6.3,      12,
651,2023-06-09,22:00,     3.6,    78.0,     6.0,      12,
651,2023-06-09,23:00,     3.6,    77.9,     6.1,      12,
651,2023-06-10,00:00,     3.6,    77.8,     7.3,-99.9,
651,2023-06-10,01:00,     3.5,    77.9,     6.4,      12,
651,2023-06-10,02:00,     3.5,    78.0,     6.8,      12,
651,2023-06-10,03:00,     3.5,    78.0,     6.8,      12,
651,2023-06-10,04:00,     3.4,    78.0,     6.7,      12,
651,2023-06-10,05:00,     3.4,    78.0,     5.5,      12,
651,2023-06-10,06:00,     3.4,    78.0,     5.0,      12,
651,2023-06-10,07:00,     3.4,    78.0,     6.3,-99.9,
651,2023-06-10,08:00,     3.3,    78.0,     8.5,      11,
651,2023-06-10,09:00,     3.1,    78.0,     9.7,      55,
651,2023-06-10,10:00,     2.9,    77.9,    10.4,      11,
651,2023-06-10,11:00,     2.6,    77.9,    10.7,      11,
651,2023-06-10,12:00,     2.4,    77.8,    11.1,      11,
651,2023-06-10,13:00,     2.1,    77.7,    11.9,      10,
651,2023-06-10,14:00,     1.9,    77.6,    12.5,-99.9,
651,2023-06-10,15:00,     1.7,    77.6,    12.3,-99.9,
651,2023-06-10,16:00,     1.6,    77.6,    12.0,       9,
651,2023-06-10,17:00,     1.5,    77.5,    12.2,       9,
651,2023-06-10,18:00,     1.5,    77.5,    10.7,     239,
651,2023-06-10,19:00,     1.4,    77.6,     9.0,      10,
651,2023-06-10,20:00,     1.5,    77.6,     8.5,      10,
651,2023-06-10,21:00,     1.5,    77.7,     8.1,       9,
651,2023-06-10,22:00,     1.6,    77.7,     8.1,      10,
651,2023-06-10,23:00,     1.5,    77.8,     8.3,       9,
